Time (s),Voltage (V)
0.008,0.164922
0.008001,0.163672
0.008002,0.163672
0.008003,0.159922
0.008004,0.161172
0.008005,0.164922
0.008006,0.161172
0.008007,0.158672
0.008008,0.159922
0.008009,0.162422
0.00801,0.162422
0.008011,0.159922
0.008012,0.161172
0.008013,0.163672
0.008014,0.159922
0.008015,0.158672
0.008016,0.158672
0.008017,0.157422
0.008018,0.161172
0.008019,0.157422
0.00802,0.158672
0.008021,0.159922
0.008022,0.159922
0.008023,0.158672
0.008024,0.161172
0.008025,0.158672
0.008026,0.159922
0.008027,0.154922
0.008028,0.158672
0.008029,0.157422
0.00803,0.156172
0.008031,0.154922
0.008032,0.158672
0.008033,0.159922
0.008034,0.158672
0.008035,0.156172
0.008036,0.154922
0.008037,0.153672
0.008038,0.156172
0.008039,0.153672
0.00804,0.156172
0.008041,0.156172
0.008042,0.153672
0.008043,0.156172
0.008044,0.153672
0.008045,0.156172
0.008046,0.153672
0.008047,0.151172
0.008048,0.154922
0.008049,0.154922
0.00805,0.156172
0.008051,0.149922
0.008052,0.156172
0.008053,0.156172
0.008054,0.157422
0.008055,0.154922
0.008056,0.152422
0.008057,0.156172
0.008058,0.152422
0.008059,0.153672
0.00806,0.156172
0.008061,0.153672
0.008062,0.157422
0.008063,0.153672
0.008064,0.153672
0.008065,0.152422
0.008066,0.153672
0.008067,0.152422
0.008068,0.152422
0.008069,0.153672
0.00807,0.156172
0.008071,0.151172
0.008072,0.153672
0.008073,0.154922
0.008074,0.152422
0.008075,0.149922
0.008076,0.154922
0.008077,0.152422
0.008078,0.154922
0.008079,0.152422
0.00808,0.153672
0.008081,0.151172
0.008082,0.153672
0.008083,0.151172
0.008084,0.153672
0.008085,0.153672
0.008086,0.151172
0.008087,0.151172
0.008088,0.152422
0.008089,0.153672
0.00809,0.153672
0.008091,0.152422
0.008092,0.152422
0.008093,0.154922
0.008094,0.154922
0.008095,0.149922
0.008096,0.154922
0.008097,0.154922
0.008098,0.153672
0.008099,0.152422
0.0081,0.154922
0.008101,0.153672
0.008102,0.153672
0.008103,0.154922
0.008104,0.152422
0.008105,0.153672
0.008106,0.152422
0.008107,0.152422
0.008108,0.153672
0.008109,0.154922
0.00811,0.153672
0.008111,0.152422
0.008112,0.154922
0.008113,0.153672
0.008114,0.154922
0.008115,0.156172
0.008116,0.157422
0.008117,0.153672
0.008118,0.154922
0.008119,0.154922
0.00812,0.156172
0.008121,0.157422
0.008122,0.154922
0.008123,0.154922
0.008124,0.156172
0.008125,0.153672
0.008126,0.156172
0.008127,0.157422
0.008128,0.157422
0.008129,0.156172
0.00813,0.158672
0.008131,0.154922
0.008132,0.157422
0.008133,0.158672
0.008134,0.157422
0.008135,0.157422
0.008136,0.157422
0.008137,0.158672
0.008138,0.159922
0.008139,0.158672
0.00814,0.158672
0.008141,0.157422
0.008142,0.159922
0.008143,0.157422
0.008144,0.159922
0.008145,0.157422
0.008146,0.159922
0.008147,0.154922
0.008148,0.156172
0.008149,0.157422
0.00815,0.159922
