Time (s),Voltage (V)
0.00334,0.026172
0.003341,0.031172
0.003342,0.019922
0.003343,0.027422
0.003344,0.026172
0.003345,0.026172
0.003346,0.028672
0.003347,0.026172
0.003348,0.026172
0.003349,0.027422
0.00335,0.023672
0.003351,0.026172
0.003352,0.026172
0.003353,0.026172
0.003354,0.026172
0.003355,0.029922
0.003356,0.024922
0.003357,0.026172
0.003358,0.024922
0.003359,0.031172
0.00336,0.028672
0.003361,0.026172
0.003362,0.027422
0.003363,0.031172
0.003364,0.024922
0.003365,0.027422
0.003366,0.026172
0.003367,0.026172
0.003368,0.028672
0.003369,0.026172
0.00337,0.024922
0.003371,0.027422
0.003372,0.027422
0.003373,0.026172
0.003374,0.024922
0.003375,0.029922
0.003376,0.029922
0.003377,0.027422
0.003378,0.029922
0.003379,0.027422
0.00338,0.028672
0.003381,0.026172
0.003382,0.022422
0.003383,0.028672
0.003384,0.028672
0.003385,0.026172
0.003386,0.031172
0.003387,0.028672
0.003388,0.028672
0.003389,0.028672
0.00339,0.027422
0.003391,0.026172
0.003392,0.029922
0.003393,0.029922
0.003394,0.027422
0.003395,0.027422
0.003396,0.028672
0.003397,0.029922
0.003398,0.027422
0.003399,0.029922
0.0034,0.029922
0.003401,0.028672
0.003402,0.026172
0.003403,0.027422
0.003404,0.027422
0.003405,0.029922
0.003406,0.028672
0.003407,0.024922
0.003408,0.026172
0.003409,0.026172
0.00341,0.028672
0.003411,0.027422
0.003412,0.027422
0.003413,0.027422
0.003414,0.026172
0.003415,0.028672
0.003416,0.028672
0.003417,0.027422
0.003418,0.026172
0.003419,0.028672
0.00342,0.029922
0.003421,0.028672
0.003422,0.028672
0.003423,0.027422
0.003424,0.029922
0.003425,0.029922
0.003426,0.026172
0.003427,0.026172
0.003428,0.028672
0.003429,0.029922
0.00343,0.026172
0.003431,0.029922
0.003432,0.027422
0.003433,0.031172
0.003434,0.026172
0.003435,0.028672
0.003436,0.026172
0.003437,0.029922
0.003438,0.023672
0.003439,0.026172
0.00344,0.026172
0.003441,0.027422
0.003442,0.027422
0.003443,0.026172
0.003444,0.024922
0.003445,0.028672
0.003446,0.023672
0.003447,0.028672
0.003448,0.024922
0.003449,0.029922
0.00345,0.022422
0.003451,0.027422
0.003452,0.027422
0.003453,0.027422
0.003454,0.028672
0.003455,0.031172
0.003456,0.026172
0.003457,0.031172
0.003458,0.028672
0.003459,0.028672
0.00346,0.026172
0.003461,0.028672
0.003462,0.031172
0.003463,0.027422
0.003464,0.029922
0.003465,0.029922
0.003466,0.027422
0.003467,0.028672
0.003468,0.028672
0.003469,0.029922
0.00347,0.028672
0.003471,0.032422
0.003472,0.031172
0.003473,0.028672
0.003474,0.024922
0.003475,0.029922
0.003476,0.031172
0.003477,0.028672
0.003478,0.029922
0.003479,0.029922
0.00348,0.031172
0.003481,0.031172
0.003482,0.032422
0.003483,0.028672
0.003484,0.026172
0.003485,0.029922
0.003486,0.028672
0.003487,0.029922
0.003488,0.026172
0.003489,0.026172
0.00349,0.027422
0.003491,0.028672
0.003492,0.028672
