Time (s),Voltage (V)
0.007882,0.133672
0.007883,0.128672
0.007884,0.131172
0.007885,0.132422
0.007886,0.132422
0.007887,0.128672
0.007888,0.131172
0.007889,0.131172
0.00789,0.131172
0.007891,0.134922
0.007892,0.131172
0.007893,0.129922
0.007894,0.131172
0.007895,0.131172
0.007896,0.128672
0.007897,0.127422
0.007898,0.128672
0.007899,0.131172
0.0079,0.127422
0.007901,0.129922
0.007902,0.131172
0.007903,0.126172
0.007904,0.126172
0.007905,0.127422
0.007906,0.127422
0.007907,0.123672
0.007908,0.126172
0.007909,0.126172
0.00791,0.124922
0.007911,0.128672
0.007912,0.124922
0.007913,0.126172
0.007914,0.128672
0.007915,0.124922
0.007916,0.126172
0.007917,0.124922
0.007918,0.128672
0.007919,0.122422
0.00792,0.123672
0.007921,0.122422
0.007922,0.123672
0.007923,0.126172
0.007924,0.121172
0.007925,0.119922
0.007926,0.124922
0.007927,0.118672
0.007928,0.118672
0.007929,0.123672
0.00793,0.121172
0.007931,0.118672
0.007932,0.117422
0.007933,0.121172
0.007934,0.117422
0.007935,0.119922
0.007936,0.116172
0.007937,0.118672
0.007938,0.114922
0.007939,0.118672
0.00794,0.114922
0.007941,0.118672
0.007942,0.119922
0.007943,0.114922
0.007944,0.114922
0.007945,0.116172
0.007946,0.116172
0.007947,0.116172
0.007948,0.117422
0.007949,0.116172
0.00795,0.113672
0.007951,0.113672
0.007952,0.114922
0.007953,0.112422
0.007954,0.111172
0.007955,0.112422
0.007956,0.108672
0.007957,0.108672
0.007958,0.107422
0.007959,0.108672
0.00796,0.108672
0.007961,0.109922
0.007962,0.111172
0.007963,0.107422
0.007964,0.106172
0.007965,0.106172
0.007966,0.106172
0.007967,0.106172
0.007968,0.102422
0.007969,0.104922
0.00797,0.101172
0.007971,0.103672
0.007972,0.104922
0.007973,0.103672
0.007974,0.107422
0.007975,0.101172
0.007976,0.102422
0.007977,0.101172
0.007978,0.102422
0.007979,0.102422
0.00798,0.098672
0.007981,0.098672
0.007982,0.096172
0.007983,0.096172
0.007984,0.097422
0.007985,0.098672
0.007986,0.097422
0.007987,0.093672
0.007988,0.094922
0.007989,0.096172
0.00799,0.096172
0.007991,0.093672
0.007992,0.094922
0.007993,0.092422
0.007994,0.096172
0.007995,0.093672
0.007996,0.091172
0.007997,0.093672
0.007998,0.088672
0.007999,0.094922
0.008,0.091172
0.008001,0.092422
0.008002,0.089922
0.008003,0.092422
0.008004,0.088672
0.008005,0.089922
0.008006,0.087422
0.008007,0.087422
0.008008,0.084922
0.008009,0.086172
0.00801,0.088672
0.008011,0.083672
0.008012,0.082422
0.008013,0.082422
0.008014,0.081172
0.008015,0.082422
0.008016,0.079922
0.008017,0.079922
0.008018,0.082422
0.008019,0.079922
0.00802,0.079922
0.008021,0.082422
0.008022,0.082422
0.008023,0.083672
0.008024,0.078672
0.008025,0.081172
0.008026,0.078672
0.008027,0.079922
0.008028,0.079922
0.008029,0.081172
0.00803,0.082422
0.008031,0.078672
0.008032,0.073672
0.008033,0.078672
0.008034,0.076172
0.008035,0.076172
0.008036,0.074922
0.008037,0.076172
0.008038,0.076172
0.008039,0.072422
0.00804,0.071172
0.008041,0.074922
0.008042,0.073672
0.008043,0.073672
0.008044,0.068672
0.008045,0.072422
0.008046,0.072422
0.008047,0.073672
0.008048,0.069922
0.008049,0.072422
0.00805,0.068672
0.008051,0.071172
0.008052,0.069922
0.008053,0.074922
0.008054,0.069922
0.008055,0.068672
0.008056,0.071172
0.008057,0.072422
0.008058,0.071172
0.008059,0.064922
0.00806,0.063672
0.008061,0.066172
0.008062,0.067422
0.008063,0.066172
0.008064,0.063672
0.008065,0.067422
0.008066,0.066172
0.008067,0.066172
0.008068,0.064922
0.008069,0.068672
0.00807,0.066172
0.008071,0.064922
0.008072,0.066172
0.008073,0.067422
0.008074,0.063672
0.008075,0.064922
0.008076,0.063672
0.008077,0.063672
0.008078,0.066172
0.008079,0.059922
0.00808,0.058672
0.008081,0.061172
0.008082,0.061172
0.008083,0.061172
0.008084,0.061172
0.008085,0.062422
0.008086,0.058672
0.008087,0.062422
0.008088,0.058672
0.008089,0.062422
0.00809,0.061172
0.008091,0.056172
0.008092,0.058672
0.008093,0.061172
0.008094,0.057422
0.008095,0.059922
0.008096,0.059922
0.008097,0.057422
0.008098,0.058672
0.008099,0.057422
0.0081,0.056172
0.008101,0.054922
0.008102,0.058672
0.008103,0.057422
0.008104,0.056172
0.008105,0.061172
0.008106,0.057422
0.008107,0.058672
0.008108,0.056172
0.008109,0.058672
0.00811,0.059922
0.008111,0.056172
0.008112,0.058672
0.008113,0.056172
0.008114,0.056172
0.008115,0.051172
0.008116,0.054922
0.008117,0.056172
0.008118,0.056172
0.008119,0.052422
0.00812,0.054922
0.008121,0.053672
0.008122,0.053672
0.008123,0.056172
0.008124,0.054922
0.008125,0.053672
0.008126,0.054922
0.008127,0.054922
0.008128,0.048672
0.008129,0.053672
0.00813,0.056172
0.008131,0.052422
0.008132,0.051172
0.008133,0.054922
0.008134,0.056172
0.008135,0.052422
0.008136,0.048672
0.008137,0.052422
0.008138,0.051172
0.008139,0.048672
0.00814,0.048672
0.008141,0.048672
0.008142,0.049922
0.008143,0.052422
0.008144,0.049922
0.008145,0.053672
0.008146,0.056172
0.008147,0.051172
0.008148,0.052422
