Time (s),Voltage (V)
0.005831,0.049922
0.005832,0.048672
0.005833,0.048672
0.005834,0.049922
0.005835,0.052422
0.005836,0.049922
0.005837,0.051172
0.005838,0.052422
0.005839,0.048672
0.00584,0.047422
0.005841,0.048672
0.005842,0.052422
0.005843,0.052422
0.005844,0.047422
0.005845,0.049922
0.005846,0.047422
0.005847,0.051172
0.005848,0.049922
0.005849,0.049922
0.00585,0.051172
0.005851,0.049922
0.005852,0.048672
0.005853,0.053672
0.005854,0.048672
0.005855,0.051172
0.005856,0.049922
0.005857,0.053672
0.005858,0.048672
0.005859,0.052422
0.00586,0.049922
0.005861,0.051172
0.005862,0.052422
0.005863,0.054922
0.005864,0.052422
0.005865,0.053672
0.005866,0.051172
0.005867,0.054922
0.005868,0.048672
0.005869,0.053672
0.00587,0.053672
0.005871,0.056172
0.005872,0.052422
0.005873,0.054922
0.005874,0.056172
0.005875,0.054922
0.005876,0.051172
0.005877,0.053672
0.005878,0.054922
0.005879,0.053672
0.00588,0.053672
0.005881,0.051172
0.005882,0.052422
0.005883,0.053672
0.005884,0.051172
0.005885,0.054922
0.005886,0.053672
0.005887,0.056172
0.005888,0.052422
0.005889,0.051172
0.00589,0.051172
0.005891,0.054922
0.005892,0.054922
0.005893,0.052422
0.005894,0.052422
0.005895,0.052422
0.005896,0.052422
0.005897,0.051172
0.005898,0.048672
0.005899,0.054922
0.0059,0.053672
0.005901,0.054922
0.005902,0.056172
0.005903,0.053672
0.005904,0.053672
0.005905,0.056172
0.005906,0.054922
0.005907,0.053672
0.005908,0.051172
0.005909,0.052422
0.00591,0.053672
0.005911,0.056172
0.005912,0.053672
0.005913,0.054922
0.005914,0.056172
0.005915,0.053672
0.005916,0.054922
0.005917,0.054922
0.005918,0.057422
0.005919,0.052422
0.00592,0.054922
0.005921,0.056172
0.005922,0.056172
0.005923,0.053672
0.005924,0.057422
0.005925,0.057422
0.005926,0.054922
0.005927,0.053672
0.005928,0.057422
0.005929,0.056172
0.00593,0.057422
0.005931,0.053672
0.005932,0.053672
0.005933,0.054922
0.005934,0.054922
0.005935,0.054922
0.005936,0.054922
0.005937,0.056172
0.005938,0.056172
0.005939,0.057422
0.00594,0.053672
0.005941,0.056172
0.005942,0.058672
0.005943,0.057422
0.005944,0.054922
0.005945,0.057422
0.005946,0.058672
0.005947,0.056172
0.005948,0.054922
0.005949,0.057422
0.00595,0.056172
0.005951,0.058672
0.005952,0.054922
0.005953,0.059922
0.005954,0.058672
0.005955,0.058672
0.005956,0.057422
0.005957,0.059922
0.005958,0.058672
0.005959,0.056172
0.00596,0.059922
0.005961,0.057422
0.005962,0.059922
0.005963,0.058672
0.005964,0.057422
0.005965,0.063672
0.005966,0.066172
0.005967,0.062422
0.005968,0.061172
0.005969,0.058672
0.00597,0.063672
0.005971,0.063672
0.005972,0.062422
0.005973,0.062422
0.005974,0.064922
0.005975,0.061172
0.005976,0.064922
0.005977,0.062422
0.005978,0.066172
0.005979,0.064922
0.00598,0.061172
0.005981,0.063672
0.005982,0.066172
0.005983,0.063672
0.005984,0.067422
0.005985,0.064922
0.005986,0.069922
0.005987,0.063672
0.005988,0.063672
0.005989,0.067422
0.00599,0.071172
0.005991,0.063672
0.005992,0.067422
0.005993,0.068672
0.005994,0.067422
0.005995,0.072422
0.005996,0.067422
0.005997,0.071172
0.005998,0.073672
0.005999,0.072422
0.006,0.069922
0.006001,0.068672
0.006002,0.071172
0.006003,0.073672
0.006004,0.071172
0.006005,0.074922
0.006006,0.073672
0.006007,0.071172
0.006008,0.071172
0.006009,0.072422
0.00601,0.077422
0.006011,0.076172
0.006012,0.074922
0.006013,0.076172
0.006014,0.077422
0.006015,0.074922
0.006016,0.078672
0.006017,0.082422
0.006018,0.078672
0.006019,0.079922
0.00602,0.081172
0.006021,0.078672
0.006022,0.079922
0.006023,0.081172
0.006024,0.081172
0.006025,0.084922
0.006026,0.087422
0.006027,0.084922
0.006028,0.087422
0.006029,0.084922
0.00603,0.084922
0.006031,0.084922
0.006032,0.084922
0.006033,0.086172
0.006034,0.086172
0.006035,0.083672
0.006036,0.086172
0.006037,0.088672
0.006038,0.091172
0.006039,0.089922
0.00604,0.087422
0.006041,0.088672
0.006042,0.091172
0.006043,0.092422
0.006044,0.088672
0.006045,0.086172
0.006046,0.092422
0.006047,0.091172
0.006048,0.092422
0.006049,0.092422
0.00605,0.091172
0.006051,0.094922
0.006052,0.089922
0.006053,0.093672
0.006054,0.094922
0.006055,0.092422
0.006056,0.096172
0.006057,0.094922
0.006058,0.097422
0.006059,0.094922
0.00606,0.092422
0.006061,0.101172
0.006062,0.096172
0.006063,0.097422
0.006064,0.099922
0.006065,0.097422
0.006066,0.097422
0.006067,0.096172
0.006068,0.094922
0.006069,0.098672
0.00607,0.097422
0.006071,0.101172
0.006072,0.096172
0.006073,0.101172
0.006074,0.101172
0.006075,0.096172
0.006076,0.098672
0.006077,0.101172
0.006078,0.099922
0.006079,0.102422
0.00608,0.097422
0.006081,0.098672
0.006082,0.103672
0.006083,0.103672
0.006084,0.099922
0.006085,0.101172
0.006086,0.101172
0.006087,0.102422
0.006088,0.102422
0.006089,0.101172
0.00609,0.103672
0.006091,0.099922
0.006092,0.097422
0.006093,0.102422
0.006094,0.101172
0.006095,0.102422
0.006096,0.098672
0.006097,0.102422
0.006098,0.098672
0.006099,0.099922
0.0061,0.096172
0.006101,0.099922
0.006102,0.102422
0.006103,0.098672
0.006104,0.094922
0.006105,0.099922
0.006106,0.101172
0.006107,0.102422
0.006108,0.096172
0.006109,0.099922
0.00611,0.094922
0.006111,0.101172
0.006112,0.096172
0.006113,0.094922
0.006114,0.096172
0.006115,0.098672
0.006116,0.096172
0.006117,0.096172
0.006118,0.097422
0.006119,0.097422
0.00612,0.093672
0.006121,0.097422
0.006122,0.094922
0.006123,0.098672
0.006124,0.094922
0.006125,0.097422
0.006126,0.096172
0.006127,0.091172
0.006128,0.092422
0.006129,0.092422
0.00613,0.096172
0.006131,0.091172
0.006132,0.093672
0.006133,0.093672
0.006134,0.092422
0.006135,0.094922
0.006136,0.093672
0.006137,0.091172
0.006138,0.096172
0.006139,0.091172
0.00614,0.087422
0.006141,0.089922
0.006142,0.088672
0.006143,0.087422
0.006144,0.089922
0.006145,0.088672
0.006146,0.088672
0.006147,0.087422
0.006148,0.088672
0.006149,0.087422
0.00615,0.087422
0.006151,0.086172
0.006152,0.087422
0.006153,0.087422
0.006154,0.086172
0.006155,0.086172
0.006156,0.087422
0.006157,0.087422
0.006158,0.083672
0.006159,0.083672
0.00616,0.081172
0.006161,0.082422
0.006162,0.082422
0.006163,0.081172
0.006164,0.078672
0.006165,0.082422
0.006166,0.079922
0.006167,0.079922
0.006168,0.079922
0.006169,0.081172
0.00617,0.079922
0.006171,0.079922
0.006172,0.081172
0.006173,0.078672
0.006174,0.078672
0.006175,0.076172
0.006176,0.074922
0.006177,0.074922
0.006178,0.082422
0.006179,0.076172
0.00618,0.074922
0.006181,0.076172
0.006182,0.077422
0.006183,0.077422
0.006184,0.076172
0.006185,0.073672
0.006186,0.076172
0.006187,0.073672
0.006188,0.074922
0.006189,0.072422
0.00619,0.072422
0.006191,0.069922
0.006192,0.069922
0.006193,0.073672
0.006194,0.073672
0.006195,0.074922
0.006196,0.069922
0.006197,0.071172
0.006198,0.072422
0.006199,0.069922
0.0062,0.069922
0.006201,0.071172
0.006202,0.069922
0.006203,0.072422
0.006204,0.069922
0.006205,0.071172
0.006206,0.071172
0.006207,0.067422
0.006208,0.067422
0.006209,0.068672
0.00621,0.066172
0.006211,0.066172
0.006212,0.066172
0.006213,0.067422
0.006214,0.066172
0.006215,0.062422
0.006216,0.066172
0.006217,0.064922
0.006218,0.066172
0.006219,0.064922
0.00622,0.066172
0.006221,0.067422
0.006222,0.067422
0.006223,0.063672
0.006224,0.066172
0.006225,0.067422
0.006226,0.062422
0.006227,0.066172
0.006228,0.062422
0.006229,0.063672
0.00623,0.062422
0.006231,0.064922
0.006232,0.061172
0.006233,0.064922
0.006234,0.062422
0.006235,0.061172
0.006236,0.059922
0.006237,0.062422
0.006238,0.061172
0.006239,0.064922
0.00624,0.056172
0.006241,0.059922
0.006242,0.063672
0.006243,0.058672
0.006244,0.062422
0.006245,0.062422
0.006246,0.059922
0.006247,0.061172
0.006248,0.058672
0.006249,0.058672
0.00625,0.059922
0.006251,0.062422
0.006252,0.056172
0.006253,0.061172
0.006254,0.058672
0.006255,0.062422
0.006256,0.058672
0.006257,0.058672
0.006258,0.058672
0.006259,0.061172
0.00626,0.054922
0.006261,0.059922
0.006262,0.058672
0.006263,0.058672
0.006264,0.057422
0.006265,0.054922
0.006266,0.057422
0.006267,0.057422
0.006268,0.053672
0.006269,0.054922
0.00627,0.058672
0.006271,0.057422
0.006272,0.053672
0.006273,0.057422
0.006274,0.059922
0.006275,0.053672
0.006276,0.057422
0.006277,0.056172
0.006278,0.058672
0.006279,0.054922
0.00628,0.057422
0.006281,0.054922
0.006282,0.056172
0.006283,0.056172
0.006284,0.056172
0.006285,0.056172
0.006286,0.054922
0.006287,0.054922
0.006288,0.053672
0.006289,0.056172
0.00629,0.056172
0.006291,0.053672
0.006292,0.052422
0.006293,0.052422
0.006294,0.056172
0.006295,0.053672
0.006296,0.053672
0.006297,0.053672
0.006298,0.053672
0.006299,0.056172
0.0063,0.051172
0.006301,0.052422
0.006302,0.057422
0.006303,0.053672
0.006304,0.051172
0.006305,0.053672
0.006306,0.052422
0.006307,0.051172
0.006308,0.052422
0.006309,0.052422
0.00631,0.051172
0.006311,0.052422
0.006312,0.051172
0.006313,0.057422
0.006314,0.053672
0.006315,0.052422
0.006316,0.048672
0.006317,0.054922
0.006318,0.053672
0.006319,0.053672
0.00632,0.052422
0.006321,0.049922
0.006322,0.051172
0.006323,0.053672
0.006324,0.051172
0.006325,0.053672
0.006326,0.049922
0.006327,0.052422
0.006328,0.049922
0.006329,0.051172
0.00633,0.051172
0.006331,0.052422
0.006332,0.048672
0.006333,0.049922
0.006334,0.051172
0.006335,0.049922
0.006336,0.052422
0.006337,0.052422
0.006338,0.047422
0.006339,0.053672
0.00634,0.051172
0.006341,0.052422
0.006342,0.049922
0.006343,0.049922
0.006344,0.052422
0.006345,0.051172
0.006346,0.051172
0.006347,0.048672
0.006348,0.048672
0.006349,0.053672
0.00635,0.049922
0.006351,0.051172
0.006352,0.046172
0.006353,0.051172
0.006354,0.053672
0.006355,0.049922
0.006356,0.049922
0.006357,0.051172
0.006358,0.048672
0.006359,0.052422
0.00636,0.046172
0.006361,0.049922
0.006362,0.052422
0.006363,0.049922
0.006364,0.048672
0.006365,0.051172
0.006366,0.048672
0.006367,0.051172
0.006368,0.051172
0.006369,0.048672
0.00637,0.051172
0.006371,0.048672
0.006372,0.048672
0.006373,0.047422
0.006374,0.046172
0.006375,0.049922
0.006376,0.046172
0.006377,0.052422
0.006378,0.047422
0.006379,0.051172
0.00638,0.046172
0.006381,0.048672
0.006382,0.051172
0.006383,0.053672
0.006384,0.047422
0.006385,0.051172
0.006386,0.047422
0.006387,0.046172
0.006388,0.047422
0.006389,0.048672
0.00639,0.049922
0.006391,0.049922
0.006392,0.048672
0.006393,0.049922
0.006394,0.047422
0.006395,0.047422
0.006396,0.047422
0.006397,0.048672
0.006398,0.052422
0.006399,0.047422
0.0064,0.048672
0.006401,0.049922
0.006402,0.049922
0.006403,0.049922
0.006404,0.048672
0.006405,0.051172
0.006406,0.047422
0.006407,0.049922
0.006408,0.048672
0.006409,0.049922
0.00641,0.048672
0.006411,0.047422
0.006412,0.047422
0.006413,0.049922
0.006414,0.051172
0.006415,0.047422
0.006416,0.044922
0.006417,0.047422
0.006418,0.049922
0.006419,0.048672
0.00642,0.043672
0.006421,0.047422
0.006422,0.049922
0.006423,0.049922
0.006424,0.048672
0.006425,0.049922
0.006426,0.049922
0.006427,0.047422
0.006428,0.047422
0.006429,0.049922
0.00643,0.047422
0.006431,0.048672
0.006432,0.049922
0.006433,0.051172
0.006434,0.048672
0.006435,0.048672
0.006436,0.049922
0.006437,0.049922
0.006438,0.051172
0.006439,0.049922
0.00644,0.046172
0.006441,0.049922
0.006442,0.048672
0.006443,0.048672
0.006444,0.051172
0.006445,0.049922
0.006446,0.047422
0.006447,0.047422
0.006448,0.049922
