Time (s),Voltage (V)
0.006098,0.027422
0.006099,0.027422
0.0061,0.028672
0.006101,0.024922
0.006102,0.026172
0.006103,0.026172
0.006104,0.026172
0.006105,0.027422
0.006106,0.026172
0.006107,0.023672
0.006108,0.027422
0.006109,0.024922
0.00611,0.031172
0.006111,0.023672
0.006112,0.024922
0.006113,0.028672
0.006114,0.028672
0.006115,0.027422
0.006116,0.026172
0.006117,0.027422
0.006118,0.029922
0.006119,0.027422
0.00612,0.028672
0.006121,0.028672
0.006122,0.028672
0.006123,0.028672
0.006124,0.028672
0.006125,0.026172
0.006126,0.027422
0.006127,0.029922
0.006128,0.029922
0.006129,0.027422
0.00613,0.027422
0.006131,0.029922
0.006132,0.023672
0.006133,0.024922
0.006134,0.027422
0.006135,0.029922
0.006136,0.029922
0.006137,0.027422
0.006138,0.028672
0.006139,0.023672
0.00614,0.028672
0.006141,0.027422
0.006142,0.027422
0.006143,0.027422
0.006144,0.024922
0.006145,0.027422
0.006146,0.028672
0.006147,0.029922
0.006148,0.028672
0.006149,0.028672
0.00615,0.028672
0.006151,0.028672
0.006152,0.027422
0.006153,0.029922
0.006154,0.027422
0.006155,0.028672
0.006156,0.024922
0.006157,0.026172
0.006158,0.028672
0.006159,0.028672
0.00616,0.026172
0.006161,0.024922
0.006162,0.027422
0.006163,0.024922
0.006164,0.024922
0.006165,0.028672
0.006166,0.028672
0.006167,0.032422
0.006168,0.024922
0.006169,0.024922
0.00617,0.029922
0.006171,0.028672
0.006172,0.027422
0.006173,0.029922
0.006174,0.027422
0.006175,0.029922
0.006176,0.027422
0.006177,0.027422
0.006178,0.023672
0.006179,0.026172
0.00618,0.026172
0.006181,0.027422
0.006182,0.026172
0.006183,0.024922
0.006184,0.028672
0.006185,0.031172
0.006186,0.027422
0.006187,0.026172
0.006188,0.028672
0.006189,0.026172
0.00619,0.026172
0.006191,0.029922
0.006192,0.026172
0.006193,0.026172
0.006194,0.027422
0.006195,0.027422
0.006196,0.026172
0.006197,0.024922
0.006198,0.028672
0.006199,0.028672
0.0062,0.026172
0.006201,0.027422
0.006202,0.027422
0.006203,0.024922
0.006204,0.028672
0.006205,0.031172
0.006206,0.024922
0.006207,0.029922
0.006208,0.028672
0.006209,0.027422
0.00621,0.028672
0.006211,0.028672
0.006212,0.027422
0.006213,0.027422
0.006214,0.028672
0.006215,0.026172
0.006216,0.024922
0.006217,0.028672
0.006218,0.028672
0.006219,0.027422
0.00622,0.031172
0.006221,0.026172
0.006222,0.026172
0.006223,0.029922
0.006224,0.027422
0.006225,0.027422
0.006226,0.027422
0.006227,0.028672
0.006228,0.026172
0.006229,0.023672
0.00623,0.027422
0.006231,0.028672
0.006232,0.027422
0.006233,0.029922
0.006234,0.026172
0.006235,0.027422
0.006236,0.026172
0.006237,0.027422
0.006238,0.023672
0.006239,0.026172
0.00624,0.028672
0.006241,0.027422
0.006242,0.024922
0.006243,0.027422
0.006244,0.024922
0.006245,0.023672
0.006246,0.027422
0.006247,0.027422
0.006248,0.027422
0.006249,0.031172
0.00625,0.027422
0.006251,0.028672
0.006252,0.026172
0.006253,0.028672
0.006254,0.028672
0.006255,0.027422
0.006256,0.024922
0.006257,0.032422
0.006258,0.026172
0.006259,0.029922
0.00626,0.027422
0.006261,0.028672
0.006262,0.027422
0.006263,0.026172
0.006264,0.026172
0.006265,0.028672
0.006266,0.027422
0.006267,0.026172
0.006268,0.026172
0.006269,0.027422
0.00627,0.028672
0.006271,0.024922
0.006272,0.027422
0.006273,0.028672
0.006274,0.029922
0.006275,0.028672
0.006276,0.028672
