Time (s),Voltage (V)
0.003853,0.027422
0.003854,0.028672
0.003855,0.027422
0.003856,0.024922
0.003857,0.023672
0.003858,0.028672
0.003859,0.027422
0.00386,0.031172
0.003861,0.027422
0.003862,0.027422
0.003863,0.028672
0.003864,0.027422
0.003865,0.024922
0.003866,0.029922
0.003867,0.027422
0.003868,0.028672
0.003869,0.027422
0.00387,0.026172
0.003871,0.029922
0.003872,0.027422
0.003873,0.024922
0.003874,0.027422
0.003875,0.028672
0.003876,0.031172
0.003877,0.024922
0.003878,0.027422
0.003879,0.029922
0.00388,0.027422
0.003881,0.027422
0.003882,0.028672
0.003883,0.028672
0.003884,0.029922
0.003885,0.028672
0.003886,0.026172
0.003887,0.029922
0.003888,0.029922
0.003889,0.024922
0.00389,0.026172
0.003891,0.028672
0.003892,0.027422
0.003893,0.026172
0.003894,0.027422
0.003895,0.024922
0.003896,0.024922
0.003897,0.027422
0.003898,0.023672
0.003899,0.027422
0.0039,0.028672
0.003901,0.028672
0.003902,0.027422
0.003903,0.028672
0.003904,0.024922
0.003905,0.027422
0.003906,0.028672
0.003907,0.028672
0.003908,0.031172
0.003909,0.028672
0.00391,0.028672
0.003911,0.028672
0.003912,0.028672
0.003913,0.027422
0.003914,0.027422
0.003915,0.028672
0.003916,0.028672
0.003917,0.028672
0.003918,0.027422
0.003919,0.026172
0.00392,0.026172
0.003921,0.023672
0.003922,0.027422
0.003923,0.026172
0.003924,0.028672
0.003925,0.029922
0.003926,0.027422
0.003927,0.026172
0.003928,0.026172
0.003929,0.024922
0.00393,0.027422
0.003931,0.026172
0.003932,0.028672
0.003933,0.024922
0.003934,0.029922
0.003935,0.029922
0.003936,0.026172
0.003937,0.028672
0.003938,0.024922
0.003939,0.026172
0.00394,0.027422
0.003941,0.028672
0.003942,0.024922
0.003943,0.031172
0.003944,0.026172
0.003945,0.027422
0.003946,0.028672
0.003947,0.029922
0.003948,0.029922
0.003949,0.027422
0.00395,0.028672
0.003951,0.027422
0.003952,0.031172
0.003953,0.024922
0.003954,0.024922
0.003955,0.026172
0.003956,0.024922
0.003957,0.024922
0.003958,0.026172
0.003959,0.028672
0.00396,0.024922
0.003961,0.026172
0.003962,0.027422
0.003963,0.028672
0.003964,0.024922
0.003965,0.026172
0.003966,0.026172
0.003967,0.027422
0.003968,0.024922
0.003969,0.029922
0.00397,0.029922
0.003971,0.024922
0.003972,0.029922
0.003973,0.028672
0.003974,0.026172
0.003975,0.027422
0.003976,0.027422
0.003977,0.029922
0.003978,0.027422
0.003979,0.029922
0.00398,0.026172
0.003981,0.027422
0.003982,0.028672
0.003983,0.024922
0.003984,0.033672
0.003985,0.026172
0.003986,0.027422
0.003987,0.028672
0.003988,0.028672
0.003989,0.026172
0.00399,0.027422
0.003991,0.026172
0.003992,0.029922
0.003993,0.026172
0.003994,0.023672
0.003995,0.027422
0.003996,0.028672
0.003997,0.022422
0.003998,0.029922
0.003999,0.022422
0.004,0.027422
0.004001,0.026172
0.004002,0.028672
0.004003,0.029922
0.004004,0.026172
0.004005,0.024922
0.004006,0.029922
0.004007,0.024922
0.004008,0.023672
0.004009,0.028672
0.00401,0.022422
0.004011,0.027422
0.004012,0.027422
0.004013,0.026172
0.004014,0.026172
0.004015,0.031172
0.004016,0.028672
0.004017,0.028672
0.004018,0.024922
0.004019,0.029922
0.00402,0.027422
0.004021,0.026172
0.004022,0.027422
0.004023,0.031172
0.004024,0.028672
0.004025,0.023672
0.004026,0.026172
0.004027,0.026172
0.004028,0.026172
0.004029,0.022422
0.00403,0.027422
0.004031,0.029922
0.004032,0.024922
0.004033,0.027422
0.004034,0.026172
0.004035,0.028672
0.004036,0.027422
0.004037,0.023672
0.004038,0.029922
0.004039,0.028672
0.00404,0.026172
0.004041,0.028672
0.004042,0.026172
0.004043,0.029922
0.004044,0.026172
0.004045,0.028672
0.004046,0.027422
0.004047,0.026172
0.004048,0.029922
0.004049,0.024922
0.00405,0.027422
0.004051,0.026172
0.004052,0.028672
0.004053,0.026172
0.004054,0.029922
0.004055,0.028672
0.004056,0.026172
0.004057,0.024922
0.004058,0.027422
0.004059,0.028672
0.00406,0.027422
0.004061,0.023672
0.004062,0.028672
0.004063,0.024922
0.004064,0.024922
0.004065,0.028672
0.004066,0.029922
0.004067,0.028672
0.004068,0.029922
0.004069,0.027422
0.00407,0.028672
0.004071,0.024922
0.004072,0.027422
0.004073,0.026172
0.004074,0.029922
0.004075,0.027422
0.004076,0.029922
0.004077,0.022422
0.004078,0.031172
0.004079,0.028672
0.00408,0.029922
0.004081,0.029922
0.004082,0.026172
0.004083,0.027422
0.004084,0.027422
0.004085,0.027422
0.004086,0.028672
0.004087,0.028672
0.004088,0.023672
0.004089,0.027422
0.00409,0.028672
0.004091,0.027422
0.004092,0.027422
0.004093,0.028672
0.004094,0.027422
0.004095,0.031172
0.004096,0.026172
0.004097,0.024922
0.004098,0.026172
0.004099,0.029922
0.0041,0.028672
0.004101,0.026172
0.004102,0.028672
0.004103,0.026172
0.004104,0.031172
0.004105,0.024922
0.004106,0.029922
0.004107,0.026172
0.004108,0.026172
0.004109,0.028672
0.00411,0.026172
0.004111,0.028672
0.004112,0.028672
0.004113,0.026172
0.004114,0.026172
0.004115,0.028672
0.004116,0.027422
0.004117,0.027422
0.004118,0.029922
0.004119,0.029922
0.00412,0.029922
0.004121,0.026172
0.004122,0.028672
0.004123,0.028672
0.004124,0.027422
0.004125,0.024922
0.004126,0.028672
0.004127,0.027422
0.004128,0.026172
0.004129,0.024922
0.00413,0.029922
0.004131,0.028672
0.004132,0.031172
0.004133,0.028672
0.004134,0.028672
0.004135,0.027422
0.004136,0.024922
0.004137,0.026172
0.004138,0.028672
0.004139,0.027422
0.00414,0.027422
0.004141,0.024922
0.004142,0.029922
0.004143,0.032422
0.004144,0.028672
0.004145,0.024922
0.004146,0.027422
0.004147,0.028672
0.004148,0.028672
0.004149,0.028672
0.00415,0.028672
0.004151,0.029922
0.004152,0.028672
0.004153,0.029922
0.004154,0.031172
0.004155,0.031172
0.004156,0.029922
0.004157,0.029922
0.004158,0.027422
0.004159,0.029922
0.00416,0.028672
0.004161,0.029922
0.004162,0.032422
0.004163,0.028672
0.004164,0.032422
0.004165,0.032422
0.004166,0.028672
0.004167,0.031172
0.004168,0.031172
0.004169,0.026172
0.00417,0.031172
0.004171,0.032422
0.004172,0.031172
0.004173,0.031172
0.004174,0.032422
0.004175,0.032422
0.004176,0.034922
0.004177,0.029922
0.004178,0.031172
0.004179,0.033672
0.00418,0.032422
0.004181,0.032422
0.004182,0.034922
0.004183,0.032422
0.004184,0.034922
0.004185,0.034922
0.004186,0.033672
0.004187,0.032422
0.004188,0.032422
0.004189,0.033672
0.00419,0.033672
0.004191,0.036172
0.004192,0.032422
0.004193,0.031172
0.004194,0.033672
0.004195,0.038672
0.004196,0.032422
0.004197,0.029922
0.004198,0.036172
0.004199,0.033672
0.0042,0.037422
0.004201,0.037422
0.004202,0.033672
0.004203,0.036172
0.004204,0.032422
0.004205,0.036172
0.004206,0.032422
0.004207,0.033672
0.004208,0.036172
0.004209,0.034922
0.00421,0.038672
0.004211,0.038672
0.004212,0.039922
0.004213,0.036172
0.004214,0.039922
0.004215,0.036172
0.004216,0.037422
0.004217,0.041172
0.004218,0.037422
0.004219,0.039922
0.00422,0.039922
0.004221,0.039922
0.004222,0.037422
0.004223,0.041172
0.004224,0.037422
0.004225,0.038672
0.004226,0.041172
0.004227,0.039922
0.004228,0.039922
0.004229,0.038672
0.00423,0.042422
0.004231,0.039922
0.004232,0.043672
0.004233,0.041172
0.004234,0.039922
0.004235,0.042422
0.004236,0.041172
0.004237,0.043672
0.004238,0.046172
0.004239,0.044922
0.00424,0.044922
0.004241,0.043672
0.004242,0.042422
0.004243,0.043672
0.004244,0.042422
0.004245,0.042422
