Time (s),Voltage (V)
0.007645,0.139922
0.007646,0.136172
0.007647,0.139922
0.007648,0.138672
0.007649,0.138672
0.00765,0.139922
0.007651,0.137422
0.007652,0.141172
0.007653,0.141172
0.007654,0.136172
0.007655,0.137422
0.007656,0.141172
0.007657,0.142422
0.007658,0.137422
0.007659,0.143672
0.00766,0.139922
0.007661,0.142422
0.007662,0.138672
0.007663,0.141172
0.007664,0.142422
0.007665,0.141172
0.007666,0.139922
0.007667,0.142422
0.007668,0.141172
0.007669,0.142422
0.00767,0.139922
0.007671,0.141172
0.007672,0.143672
0.007673,0.141172
0.007674,0.139922
0.007675,0.143672
0.007676,0.144922
0.007677,0.143672
0.007678,0.142422
0.007679,0.141172
0.00768,0.143672
0.007681,0.141172
0.007682,0.144922
0.007683,0.144922
0.007684,0.141172
0.007685,0.146172
0.007686,0.143672
0.007687,0.142422
0.007688,0.144922
0.007689,0.144922
0.00769,0.146172
0.007691,0.147422
0.007692,0.147422
0.007693,0.144922
0.007694,0.146172
0.007695,0.146172
0.007696,0.146172
0.007697,0.148672
0.007698,0.146172
0.007699,0.146172
0.0077,0.151172
0.007701,0.146172
0.007702,0.144922
0.007703,0.144922
0.007704,0.146172
0.007705,0.152422
0.007706,0.148672
0.007707,0.144922
0.007708,0.148672
0.007709,0.146172
0.00771,0.147422
0.007711,0.146172
0.007712,0.148672
0.007713,0.147422
0.007714,0.147422
0.007715,0.147422
0.007716,0.146172
0.007717,0.147422
0.007718,0.148672
0.007719,0.149922
0.00772,0.151172
0.007721,0.149922
0.007722,0.149922
0.007723,0.147422
0.007724,0.154922
0.007725,0.151172
0.007726,0.153672
0.007727,0.152422
0.007728,0.153672
0.007729,0.151172
0.00773,0.149922
0.007731,0.152422
0.007732,0.153672
0.007733,0.151172
0.007734,0.154922
0.007735,0.151172
0.007736,0.154922
0.007737,0.152422
0.007738,0.153672
0.007739,0.153672
0.00774,0.153672
0.007741,0.154922
0.007742,0.152422
0.007743,0.149922
0.007744,0.151172
0.007745,0.154922
0.007746,0.154922
0.007747,0.154922
0.007748,0.153672
0.007749,0.157422
0.00775,0.157422
0.007751,0.154922
0.007752,0.157422
0.007753,0.157422
0.007754,0.157422
0.007755,0.156172
0.007756,0.157422
0.007757,0.157422
0.007758,0.157422
0.007759,0.156172
0.00776,0.156172
0.007761,0.157422
0.007762,0.157422
0.007763,0.157422
0.007764,0.157422
0.007765,0.157422
0.007766,0.162422
0.007767,0.156172
0.007768,0.158672
0.007769,0.158672
0.00777,0.163672
0.007771,0.159922
0.007772,0.158672
0.007773,0.159922
0.007774,0.163672
0.007775,0.159922
0.007776,0.161172
0.007777,0.162422
0.007778,0.164922
0.007779,0.159922
0.00778,0.159922
0.007781,0.163672
0.007782,0.164922
0.007783,0.159922
0.007784,0.163672
0.007785,0.167422
0.007786,0.163672
0.007787,0.163672
0.007788,0.163672
0.007789,0.166172
0.00779,0.163672
0.007791,0.164922
0.007792,0.166172
0.007793,0.163672
0.007794,0.162422
0.007795,0.166172
0.007796,0.166172
0.007797,0.164922
0.007798,0.167422
0.007799,0.167422
0.0078,0.163672
0.007801,0.167422
0.007802,0.164922
0.007803,0.168672
0.007804,0.166172
0.007805,0.167422
0.007806,0.171172
