Time (s),Voltage (V)
0.006766,0.183672
0.006767,0.182422
0.006768,0.181172
0.006769,0.182422
0.00677,0.181172
0.006771,0.179922
0.006772,0.179922
0.006773,0.178672
0.006774,0.181172
0.006775,0.179922
0.006776,0.179922
0.006777,0.179922
0.006778,0.178672
0.006779,0.174922
0.00678,0.174922
0.006781,0.176172
0.006782,0.173672
0.006783,0.173672
0.006784,0.174922
0.006785,0.174922
0.006786,0.173672
0.006787,0.176172
0.006788,0.174922
0.006789,0.172422
0.00679,0.173672
0.006791,0.171172
0.006792,0.172422
0.006793,0.172422
0.006794,0.168672
0.006795,0.169922
0.006796,0.169922
0.006797,0.174922
0.006798,0.168672
0.006799,0.169922
0.0068,0.172422
0.006801,0.169922
0.006802,0.169922
0.006803,0.171172
0.006804,0.168672
0.006805,0.171172
0.006806,0.168672
0.006807,0.169922
0.006808,0.171172
0.006809,0.169922
0.00681,0.164922
0.006811,0.166172
0.006812,0.166172
0.006813,0.168672
0.006814,0.168672
0.006815,0.171172
0.006816,0.167422
0.006817,0.168672
0.006818,0.166172
0.006819,0.164922
0.00682,0.166172
0.006821,0.164922
0.006822,0.166172
0.006823,0.166172
0.006824,0.167422
0.006825,0.167422
0.006826,0.167422
0.006827,0.164922
0.006828,0.166172
0.006829,0.159922
0.00683,0.161172
0.006831,0.167422
0.006832,0.163672
0.006833,0.166172
0.006834,0.162422
0.006835,0.167422
0.006836,0.166172
0.006837,0.163672
0.006838,0.162422
0.006839,0.166172
0.00684,0.166172
0.006841,0.166172
0.006842,0.166172
0.006843,0.166172
0.006844,0.163672
0.006845,0.166172
0.006846,0.163672
0.006847,0.164922
0.006848,0.163672
0.006849,0.166172
0.00685,0.164922
0.006851,0.163672
0.006852,0.167422
0.006853,0.163672
0.006854,0.166172
0.006855,0.164922
0.006856,0.166172
0.006857,0.163672
0.006858,0.166172
0.006859,0.164922
0.00686,0.166172
0.006861,0.164922
0.006862,0.167422
0.006863,0.169922
0.006864,0.166172
0.006865,0.166172
0.006866,0.167422
0.006867,0.164922
0.006868,0.171172
0.006869,0.172422
0.00687,0.167422
0.006871,0.168672
0.006872,0.167422
0.006873,0.168672
0.006874,0.166172
0.006875,0.169922
0.006876,0.171172
0.006877,0.168672
0.006878,0.166172
0.006879,0.166172
0.00688,0.168672
0.006881,0.167422
0.006882,0.168672
0.006883,0.169922
0.006884,0.172422
0.006885,0.167422
0.006886,0.168672
0.006887,0.167422
0.006888,0.167422
0.006889,0.171172
0.00689,0.169922
0.006891,0.168672
0.006892,0.173672
0.006893,0.169922
0.006894,0.168672
0.006895,0.169922
0.006896,0.171172
0.006897,0.168672
0.006898,0.171172
0.006899,0.171172
0.0069,0.171172
0.006901,0.172422
0.006902,0.172422
0.006903,0.169922
0.006904,0.172422
0.006905,0.169922
0.006906,0.173672
0.006907,0.169922
0.006908,0.168672
0.006909,0.176172
0.00691,0.168672
0.006911,0.172422
0.006912,0.171172
0.006913,0.171172
0.006914,0.172422
0.006915,0.173672
0.006916,0.174922
0.006917,0.174922
0.006918,0.171172
0.006919,0.174922
0.00692,0.176172
0.006921,0.174922
0.006922,0.172422
0.006923,0.173672
0.006924,0.174922
0.006925,0.173672
0.006926,0.174922
0.006927,0.173672
0.006928,0.173672
0.006929,0.173672
0.00693,0.171172
0.006931,0.171172
0.006932,0.176172
0.006933,0.174922
0.006934,0.177422
0.006935,0.178672
0.006936,0.176172
0.006937,0.173672
0.006938,0.174922
0.006939,0.176172
0.00694,0.176172
0.006941,0.174922
0.006942,0.174922
0.006943,0.178672
0.006944,0.176172
0.006945,0.176172
0.006946,0.174922
0.006947,0.174922
0.006948,0.178672
0.006949,0.174922
0.00695,0.177422
0.006951,0.176172
0.006952,0.178672
0.006953,0.176172
0.006954,0.177422
0.006955,0.173672
0.006956,0.177422
0.006957,0.178672
0.006958,0.176172
0.006959,0.179922
0.00696,0.177422
0.006961,0.177422
0.006962,0.178672
0.006963,0.182422
0.006964,0.177422
0.006965,0.179922
0.006966,0.176172
0.006967,0.178672
0.006968,0.177422
0.006969,0.176172
0.00697,0.176172
0.006971,0.179922
0.006972,0.182422
0.006973,0.176172
0.006974,0.176172
0.006975,0.179922
0.006976,0.179922
0.006977,0.177422
0.006978,0.182422
0.006979,0.179922
0.00698,0.181172
0.006981,0.179922
0.006982,0.181172
0.006983,0.181172
0.006984,0.179922
0.006985,0.183672
0.006986,0.178672
0.006987,0.177422
0.006988,0.182422
0.006989,0.179922
0.00699,0.181172
0.006991,0.183672
0.006992,0.179922
0.006993,0.179922
0.006994,0.176172
0.006995,0.179922
0.006996,0.179922
0.006997,0.182422
0.006998,0.179922
0.006999,0.179922
0.007,0.177422
0.007001,0.179922
0.007002,0.176172
0.007003,0.184922
0.007004,0.181172
0.007005,0.179922
0.007006,0.183672
0.007007,0.174922
0.007008,0.182422
0.007009,0.178672
0.00701,0.177422
0.007011,0.177422
0.007012,0.182422
0.007013,0.178672
0.007014,0.179922
0.007015,0.178672
0.007016,0.183672
0.007017,0.178672
0.007018,0.178672
0.007019,0.177422
0.00702,0.178672
0.007021,0.177422
0.007022,0.181172
0.007023,0.181172
0.007024,0.182422
0.007025,0.178672
0.007026,0.177422
0.007027,0.179922
0.007028,0.183672
