Time (s),Voltage (V)
0.007373,0.077422
0.007374,0.079922
0.007375,0.082422
0.007376,0.077422
0.007377,0.081172
0.007378,0.082422
0.007379,0.082422
0.00738,0.084922
0.007381,0.084922
0.007382,0.081172
0.007383,0.082422
0.007384,0.083672
0.007385,0.081172
0.007386,0.082422
0.007387,0.084922
0.007388,0.086172
0.007389,0.086172
0.00739,0.088672
0.007391,0.089922
0.007392,0.084922
0.007393,0.087422
0.007394,0.088672
0.007395,0.088672
0.007396,0.089922
0.007397,0.086172
0.007398,0.091172
0.007399,0.089922
0.0074,0.092422
0.007401,0.089922
0.007402,0.093672
0.007403,0.094922
0.007404,0.092422
0.007405,0.089922
0.007406,0.096172
0.007407,0.091172
0.007408,0.093672
0.007409,0.089922
0.00741,0.092422
0.007411,0.093672
0.007412,0.094922
0.007413,0.094922
0.007414,0.097422
0.007415,0.097422
0.007416,0.098672
0.007417,0.096172
0.007418,0.094922
0.007419,0.097422
0.00742,0.099922
0.007421,0.097422
0.007422,0.102422
0.007423,0.101172
0.007424,0.102422
0.007425,0.103672
0.007426,0.102422
0.007427,0.102422
0.007428,0.103672
0.007429,0.102422
0.00743,0.102422
0.007431,0.103672
0.007432,0.106172
0.007433,0.103672
0.007434,0.108672
0.007435,0.106172
0.007436,0.108672
0.007437,0.106172
0.007438,0.107422
0.007439,0.109922
0.00744,0.108672
0.007441,0.107422
0.007442,0.109922
0.007443,0.108672
0.007444,0.108672
0.007445,0.108672
0.007446,0.111172
0.007447,0.111172
0.007448,0.113672
0.007449,0.113672
0.00745,0.114922
0.007451,0.112422
0.007452,0.111172
0.007453,0.112422
0.007454,0.112422
0.007455,0.116172
0.007456,0.114922
0.007457,0.114922
0.007458,0.116172
0.007459,0.117422
0.00746,0.117422
0.007461,0.118672
0.007462,0.116172
0.007463,0.121172
0.007464,0.116172
0.007465,0.119922
0.007466,0.118672
0.007467,0.117422
0.007468,0.117422
0.007469,0.121172
0.00747,0.118672
0.007471,0.121172
0.007472,0.121172
0.007473,0.118672
0.007474,0.121172
0.007475,0.124922
0.007476,0.122422
0.007477,0.119922
0.007478,0.119922
0.007479,0.119922
0.00748,0.119922
0.007481,0.122422
0.007482,0.123672
0.007483,0.121172
0.007484,0.121172
0.007485,0.121172
0.007486,0.124922
0.007487,0.121172
0.007488,0.123672
0.007489,0.123672
0.00749,0.122422
0.007491,0.122422
0.007492,0.123672
0.007493,0.121172
0.007494,0.124922
0.007495,0.123672
0.007496,0.127422
0.007497,0.123672
0.007498,0.124922
0.007499,0.124922
0.0075,0.123672
0.007501,0.123672
0.007502,0.127422
0.007503,0.123672
0.007504,0.124922
0.007505,0.122422
0.007506,0.118672
0.007507,0.123672
0.007508,0.123672
0.007509,0.123672
0.00751,0.127422
0.007511,0.123672
0.007512,0.122422
0.007513,0.121172
0.007514,0.123672
0.007515,0.122422
0.007516,0.123672
0.007517,0.123672
0.007518,0.124922
0.007519,0.123672
0.00752,0.122422
0.007521,0.119922
0.007522,0.121172
0.007523,0.121172
0.007524,0.122422
0.007525,0.119922
0.007526,0.119922
0.007527,0.119922
0.007528,0.122422
0.007529,0.118672
0.00753,0.122422
0.007531,0.123672
0.007532,0.121172
0.007533,0.119922
0.007534,0.121172
0.007535,0.121172
0.007536,0.122422
0.007537,0.121172
0.007538,0.118672
0.007539,0.118672
0.00754,0.119922
0.007541,0.117422
0.007542,0.117422
0.007543,0.114922
0.007544,0.117422
0.007545,0.116172
0.007546,0.117422
0.007547,0.116172
0.007548,0.116172
0.007549,0.114922
0.00755,0.116172
0.007551,0.113672
0.007552,0.113672
0.007553,0.113672
0.007554,0.113672
0.007555,0.112422
0.007556,0.112422
0.007557,0.112422
0.007558,0.112422
0.007559,0.112422
0.00756,0.108672
0.007561,0.104922
0.007562,0.109922
0.007563,0.108672
0.007564,0.109922
0.007565,0.107422
0.007566,0.106172
0.007567,0.106172
0.007568,0.106172
0.007569,0.108672
0.00757,0.107422
0.007571,0.107422
0.007572,0.104922
0.007573,0.103672
0.007574,0.104922
0.007575,0.106172
0.007576,0.103672
0.007577,0.104922
0.007578,0.103672
0.007579,0.104922
0.00758,0.104922
0.007581,0.099922
0.007582,0.101172
0.007583,0.102422
0.007584,0.098672
0.007585,0.098672
0.007586,0.098672
0.007587,0.098672
0.007588,0.098672
0.007589,0.096172
0.00759,0.094922
0.007591,0.094922
0.007592,0.097422
0.007593,0.096172
0.007594,0.097422
0.007595,0.093672
0.007596,0.094922
0.007597,0.094922
0.007598,0.092422
0.007599,0.093672
0.0076,0.093672
0.007601,0.091172
0.007602,0.094922
0.007603,0.091172
0.007604,0.088672
0.007605,0.092422
0.007606,0.089922
0.007607,0.089922
0.007608,0.089922
0.007609,0.089922
0.00761,0.089922
0.007611,0.089922
0.007612,0.084922
0.007613,0.083672
0.007614,0.086172
0.007615,0.086172
0.007616,0.089922
0.007617,0.086172
0.007618,0.082422
0.007619,0.084922
0.00762,0.084922
0.007621,0.081172
0.007622,0.083672
0.007623,0.086172
0.007624,0.081172
0.007625,0.084922
0.007626,0.081172
0.007627,0.081172
0.007628,0.079922
0.007629,0.081172
0.00763,0.079922
0.007631,0.079922
0.007632,0.077422
0.007633,0.079922
0.007634,0.078672
0.007635,0.079922
0.007636,0.074922
0.007637,0.074922
0.007638,0.078672
0.007639,0.076172
0.00764,0.074922
