Time (s),Voltage (V)
0.007092,0.156172
0.007093,0.151172
0.007094,0.149922
0.007095,0.153672
0.007096,0.152422
0.007097,0.152422
0.007098,0.153672
0.007099,0.153672
0.0071,0.152422
0.007101,0.148672
0.007102,0.147422
0.007103,0.151172
0.007104,0.151172
0.007105,0.148672
0.007106,0.151172
0.007107,0.149922
0.007108,0.151172
0.007109,0.149922
0.00711,0.148672
0.007111,0.149922
0.007112,0.148672
0.007113,0.151172
0.007114,0.147422
0.007115,0.148672
0.007116,0.147422
0.007117,0.146172
0.007118,0.146172
0.007119,0.148672
0.00712,0.149922
0.007121,0.149922
0.007122,0.147422
0.007123,0.149922
0.007124,0.147422
0.007125,0.148672
0.007126,0.147422
0.007127,0.148672
0.007128,0.147422
0.007129,0.148672
0.00713,0.148672
0.007131,0.147422
0.007132,0.146172
0.007133,0.147422
0.007134,0.146172
0.007135,0.147422
0.007136,0.147422
0.007137,0.143672
0.007138,0.142422
0.007139,0.146172
0.00714,0.146172
0.007141,0.149922
0.007142,0.144922
0.007143,0.148672
0.007144,0.146172
0.007145,0.147422
0.007146,0.142422
0.007147,0.146172
0.007148,0.149922
0.007149,0.144922
0.00715,0.143672
0.007151,0.146172
0.007152,0.147422
0.007153,0.146172
0.007154,0.144922
0.007155,0.147422
0.007156,0.146172
0.007157,0.143672
0.007158,0.142422
0.007159,0.146172
0.00716,0.146172
0.007161,0.142422
0.007162,0.143672
0.007163,0.142422
0.007164,0.148672
0.007165,0.148672
0.007166,0.146172
0.007167,0.144922
0.007168,0.143672
0.007169,0.147422
0.00717,0.142422
0.007171,0.144922
0.007172,0.147422
0.007173,0.143672
0.007174,0.146172
0.007175,0.146172
0.007176,0.146172
0.007177,0.143672
0.007178,0.144922
0.007179,0.146172
0.00718,0.146172
0.007181,0.143672
0.007182,0.143672
0.007183,0.146172
0.007184,0.143672
0.007185,0.146172
0.007186,0.143672
0.007187,0.144922
0.007188,0.146172
0.007189,0.143672
0.00719,0.147422
0.007191,0.144922
0.007192,0.146172
0.007193,0.146172
0.007194,0.144922
0.007195,0.143672
0.007196,0.146172
0.007197,0.144922
0.007198,0.147422
0.007199,0.148672
0.0072,0.146172
0.007201,0.146172
0.007202,0.142422
0.007203,0.144922
0.007204,0.147422
0.007205,0.144922
0.007206,0.146172
0.007207,0.147422
0.007208,0.146172
0.007209,0.144922
0.00721,0.147422
0.007211,0.147422
0.007212,0.146172
0.007213,0.144922
0.007214,0.148672
0.007215,0.146172
0.007216,0.148672
0.007217,0.147422
0.007218,0.149922
0.007219,0.147422
0.00722,0.148672
0.007221,0.148672
0.007222,0.151172
0.007223,0.149922
0.007224,0.151172
0.007225,0.148672
0.007226,0.148672
0.007227,0.149922
0.007228,0.153672
0.007229,0.147422
0.00723,0.147422
0.007231,0.149922
0.007232,0.147422
0.007233,0.149922
0.007234,0.148672
0.007235,0.151172
0.007236,0.148672
0.007237,0.149922
0.007238,0.149922
0.007239,0.153672
0.00724,0.153672
0.007241,0.151172
0.007242,0.151172
0.007243,0.151172
0.007244,0.152422
0.007245,0.149922
0.007246,0.151172
0.007247,0.152422
0.007248,0.152422
0.007249,0.151172
0.00725,0.148672
0.007251,0.154922
0.007252,0.148672
0.007253,0.154922
0.007254,0.151172
0.007255,0.156172
0.007256,0.153672
0.007257,0.154922
0.007258,0.151172
0.007259,0.157422
0.00726,0.153672
0.007261,0.154922
0.007262,0.152422
0.007263,0.153672
0.007264,0.154922
0.007265,0.156172
0.007266,0.154922
0.007267,0.156172
0.007268,0.154922
0.007269,0.157422
0.00727,0.158672
0.007271,0.156172
0.007272,0.158672
0.007273,0.159922
0.007274,0.156172
0.007275,0.157422
0.007276,0.158672
0.007277,0.159922
0.007278,0.154922
0.007279,0.157422
0.00728,0.161172
0.007281,0.156172
0.007282,0.158672
0.007283,0.156172
0.007284,0.159922
0.007285,0.158672
0.007286,0.158672
0.007287,0.161172
0.007288,0.161172
0.007289,0.159922
0.00729,0.159922
0.007291,0.161172
0.007292,0.162422
0.007293,0.158672
0.007294,0.159922
0.007295,0.163672
0.007296,0.159922
0.007297,0.157422
0.007298,0.158672
0.007299,0.162422
0.0073,0.161172
0.007301,0.163672
0.007302,0.161172
0.007303,0.163672
0.007304,0.159922
0.007305,0.161172
0.007306,0.162422
0.007307,0.164922
0.007308,0.161172
0.007309,0.164922
0.00731,0.162422
0.007311,0.159922
0.007312,0.164922
0.007313,0.167422
0.007314,0.163672
0.007315,0.164922
0.007316,0.166172
0.007317,0.166172
0.007318,0.163672
0.007319,0.162422
0.00732,0.162422
0.007321,0.166172
0.007322,0.164922
0.007323,0.162422
0.007324,0.167422
0.007325,0.163672
