Time (s),Voltage (V)
0.007492,0.946172
0.007493,0.947422
0.007494,0.947422
0.007495,0.944922
0.007496,0.944922
0.007497,0.944922
0.007498,0.943672
0.007499,0.944922
0.0075,0.942422
0.007501,0.941172
0.007502,0.939922
0.007503,0.938672
0.007504,0.936172
0.007505,0.933672
0.007506,0.933672
0.007507,0.929922
0.007508,0.927422
0.007509,0.926172
0.00751,0.919922
0.007511,0.922422
0.007512,0.917422
0.007513,0.914922
0.007514,0.911172
0.007515,0.912422
0.007516,0.906172
0.007517,0.904922
0.007518,0.902422
0.007519,0.899922
0.00752,0.896172
0.007521,0.893672
0.007522,0.892422
0.007523,0.884922
0.007524,0.883672
0.007525,0.879922
0.007526,0.872422
0.007527,0.876172
0.007528,0.869922
0.007529,0.863672
0.00753,0.858672
0.007531,0.858672
0.007532,0.857422
0.007533,0.849922
0.007534,0.843672
0.007535,0.842422
0.007536,0.837422
0.007537,0.829922
0.007538,0.827422
0.007539,0.829922
0.00754,0.821172
0.007541,0.814922
0.007542,0.812422
0.007543,0.807422
0.007544,0.803672
0.007545,0.799922
0.007546,0.792422
0.007547,0.792422
0.007548,0.786172
0.007549,0.782422
0.00755,0.774922
0.007551,0.771172
0.007552,0.768672
0.007553,0.766172
0.007554,0.758672
0.007555,0.756172
0.007556,0.748672
0.007557,0.746172
0.007558,0.739922
0.007559,0.738672
0.00756,0.731172
0.007561,0.724922
0.007562,0.719922
0.007563,0.721172
0.007564,0.714922
0.007565,0.709922
0.007566,0.704922
0.007567,0.701172
0.007568,0.696172
0.007569,0.691172
0.00757,0.682422
0.007571,0.682422
0.007572,0.676172
0.007573,0.671172
0.007574,0.666172
0.007575,0.661172
0.007576,0.658672
0.007577,0.653672
0.007578,0.648672
0.007579,0.644922
0.00758,0.638672
0.007581,0.638672
0.007582,0.633672
0.007583,0.627422
0.007584,0.619922
0.007585,0.619922
0.007586,0.616172
0.007587,0.612422
0.007588,0.607422
0.007589,0.602422
0.00759,0.593672
0.007591,0.593672
0.007592,0.591172
0.007593,0.584922
0.007594,0.581172
0.007595,0.577422
0.007596,0.574922
0.007597,0.568672
0.007598,0.563672
0.007599,0.562422
0.0076,0.559922
0.007601,0.553672
0.007602,0.551172
0.007603,0.549922
0.007604,0.546172
0.007605,0.541172
0.007606,0.538672
0.007607,0.539922
0.007608,0.529922
0.007609,0.528672
0.00761,0.523672
0.007611,0.524922
0.007612,0.516172
0.007613,0.512422
0.007614,0.511172
0.007615,0.507422
0.007616,0.501172
0.007617,0.499922
0.007618,0.496172
0.007619,0.494922
0.00762,0.491172
0.007621,0.491172
0.007622,0.483672
0.007623,0.483672
0.007624,0.482422
0.007625,0.477422
0.007626,0.474922
0.007627,0.469922
0.007628,0.469922
0.007629,0.464922
0.00763,0.463672
0.007631,0.458672
0.007632,0.456172
0.007633,0.457422
0.007634,0.452422
0.007635,0.448672
0.007636,0.448672
0.007637,0.444922
0.007638,0.438672
0.007639,0.439922
0.00764,0.437422
0.007641,0.434922
0.007642,0.431172
0.007643,0.432422
0.007644,0.428672
0.007645,0.424922
0.007646,0.423672
0.007647,0.419922
0.007648,0.417422
0.007649,0.414922
