Time (s),Voltage (V)
0.005325,0.058672
0.005326,0.057422
0.005327,0.059922
0.005328,0.061172
0.005329,0.059922
0.00533,0.057422
0.005331,0.058672
0.005332,0.058672
0.005333,0.054922
0.005334,0.054922
0.005335,0.056172
0.005336,0.058672
0.005337,0.061172
0.005338,0.054922
0.005339,0.054922
0.00534,0.061172
0.005341,0.057422
0.005342,0.058672
0.005343,0.053672
0.005344,0.059922
0.005345,0.057422
0.005346,0.059922
0.005347,0.057422
0.005348,0.058672
0.005349,0.058672
0.00535,0.057422
0.005351,0.058672
0.005352,0.058672
0.005353,0.061172
0.005354,0.054922
0.005355,0.059922
0.005356,0.058672
0.005357,0.058672
0.005358,0.058672
0.005359,0.054922
0.00536,0.057422
0.005361,0.057422
0.005362,0.058672
0.005363,0.054922
0.005364,0.061172
0.005365,0.058672
0.005366,0.057422
0.005367,0.054922
0.005368,0.057422
0.005369,0.058672
0.00537,0.054922
0.005371,0.053672
0.005372,0.057422
0.005373,0.058672
0.005374,0.058672
0.005375,0.057422
0.005376,0.054922
0.005377,0.058672
0.005378,0.057422
0.005379,0.056172
0.00538,0.058672
0.005381,0.057422
0.005382,0.057422
0.005383,0.056172
0.005384,0.059922
0.005385,0.057422
0.005386,0.053672
0.005387,0.054922
0.005388,0.057422
0.005389,0.056172
0.00539,0.056172
0.005391,0.054922
0.005392,0.057422
0.005393,0.056172
0.005394,0.058672
0.005395,0.054922
0.005396,0.059922
0.005397,0.057422
0.005398,0.054922
0.005399,0.056172
0.0054,0.054922
0.005401,0.057422
0.005402,0.058672
0.005403,0.052422
0.005404,0.058672
0.005405,0.062422
0.005406,0.054922
0.005407,0.058672
0.005408,0.057422
0.005409,0.056172
0.00541,0.057422
0.005411,0.053672
0.005412,0.056172
0.005413,0.057422
0.005414,0.056172
0.005415,0.056172
0.005416,0.059922
0.005417,0.057422
0.005418,0.054922
0.005419,0.057422
0.00542,0.054922
0.005421,0.057422
0.005422,0.054922
0.005423,0.058672
0.005424,0.059922
0.005425,0.059922
0.005426,0.057422
0.005427,0.054922
0.005428,0.058672
0.005429,0.056172
0.00543,0.054922
0.005431,0.056172
0.005432,0.058672
0.005433,0.057422
0.005434,0.056172
0.005435,0.057422
0.005436,0.056172
0.005437,0.059922
0.005438,0.059922
0.005439,0.058672
0.00544,0.058672
0.005441,0.061172
0.005442,0.056172
0.005443,0.058672
0.005444,0.059922
0.005445,0.058672
0.005446,0.059922
0.005447,0.056172
0.005448,0.058672
0.005449,0.061172
0.00545,0.056172
0.005451,0.057422
0.005452,0.056172
0.005453,0.058672
0.005454,0.056172
0.005455,0.054922
0.005456,0.057422
0.005457,0.058672
0.005458,0.057422
0.005459,0.057422
0.00546,0.059922
0.005461,0.056172
0.005462,0.059922
0.005463,0.058672
0.005464,0.061172
0.005465,0.061172
0.005466,0.059922
0.005467,0.058672
0.005468,0.059922
0.005469,0.058672
0.00547,0.058672
0.005471,0.056172
0.005472,0.059922
0.005473,0.062422
0.005474,0.057422
0.005475,0.058672
0.005476,0.057422
0.005477,0.061172
0.005478,0.061172
0.005479,0.061172
0.00548,0.062422
0.005481,0.059922
0.005482,0.058672
0.005483,0.057422
0.005484,0.058672
0.005485,0.059922
0.005486,0.061172
0.005487,0.058672
0.005488,0.059922
0.005489,0.061172
0.00549,0.059922
0.005491,0.059922
0.005492,0.063672
0.005493,0.058672
0.005494,0.058672
0.005495,0.058672
0.005496,0.058672
0.005497,0.059922
0.005498,0.057422
0.005499,0.061172
0.0055,0.063672
0.005501,0.061172
0.005502,0.058672
0.005503,0.063672
0.005504,0.062422
0.005505,0.062422
0.005506,0.058672
0.005507,0.058672
0.005508,0.061172
0.005509,0.059922
0.00551,0.061172
0.005511,0.057422
0.005512,0.059922
0.005513,0.059922
0.005514,0.059922
0.005515,0.061172
0.005516,0.059922
0.005517,0.061172
0.005518,0.058672
0.005519,0.063672
0.00552,0.062422
0.005521,0.061172
0.005522,0.061172
0.005523,0.061172
0.005524,0.062422
0.005525,0.059922
0.005526,0.061172
0.005527,0.061172
0.005528,0.063672
0.005529,0.062422
0.00553,0.063672
0.005531,0.062422
0.005532,0.062422
0.005533,0.064922
0.005534,0.064922
0.005535,0.061172
0.005536,0.061172
0.005537,0.062422
0.005538,0.064922
