Time (s),Voltage (V)
0.004077,0.648672
0.004078,0.651172
0.004079,0.656172
0.00408,0.666172
0.004081,0.662422
0.004082,0.676172
0.004083,0.676172
0.004084,0.677422
0.004085,0.687422
0.004086,0.691172
0.004087,0.693672
0.004088,0.699922
0.004089,0.706172
0.00409,0.706172
0.004091,0.711172
0.004092,0.716172
0.004093,0.719922
0.004094,0.719922
0.004095,0.726172
0.004096,0.729922
0.004097,0.733672
0.004098,0.738672
0.004099,0.738672
0.0041,0.742422
0.004101,0.747422
0.004102,0.747422
0.004103,0.749922
0.004104,0.749922
0.004105,0.756172
0.004106,0.758672
0.004107,0.758672
0.004108,0.766172
0.004109,0.766172
0.00411,0.769922
0.004111,0.767422
0.004112,0.773672
0.004113,0.772422
0.004114,0.776172
0.004115,0.777422
0.004116,0.782422
0.004117,0.779922
0.004118,0.779922
0.004119,0.779922
0.00412,0.781172
0.004121,0.782422
0.004122,0.783672
0.004123,0.778672
0.004124,0.783672
0.004125,0.784922
0.004126,0.783672
0.004127,0.784922
0.004128,0.783672
0.004129,0.786172
0.00413,0.782422
0.004131,0.783672
0.004132,0.783672
0.004133,0.787422
0.004134,0.783672
0.004135,0.781172
0.004136,0.784922
0.004137,0.778672
0.004138,0.781172
0.004139,0.776172
0.00414,0.779922
0.004141,0.777422
0.004142,0.774922
0.004143,0.769922
0.004144,0.772422
0.004145,0.769922
0.004146,0.771172
0.004147,0.764922
0.004148,0.766172
0.004149,0.762422
0.00415,0.758672
0.004151,0.756172
0.004152,0.753672
0.004153,0.753672
0.004154,0.753672
0.004155,0.749922
0.004156,0.743672
0.004157,0.742422
0.004158,0.738672
0.004159,0.732422
0.00416,0.734922
0.004161,0.729922
0.004162,0.731172
0.004163,0.723672
0.004164,0.727422
0.004165,0.718672
0.004166,0.714922
0.004167,0.712422
0.004168,0.713672
0.004169,0.704922
0.00417,0.706172
0.004171,0.696172
0.004172,0.697422
0.004173,0.691172
0.004174,0.688672
0.004175,0.683672
0.004176,0.686172
0.004177,0.676172
0.004178,0.674922
0.004179,0.669922
0.00418,0.667422
0.004181,0.664922
0.004182,0.658672
0.004183,0.658672
0.004184,0.656172
0.004185,0.648672
0.004186,0.643672
0.004187,0.641172
0.004188,0.636172
0.004189,0.637422
0.00419,0.627422
0.004191,0.624922
0.004192,0.624922
0.004193,0.617422
0.004194,0.616172
0.004195,0.609922
0.004196,0.608672
0.004197,0.603672
0.004198,0.602422
0.004199,0.592422
0.0042,0.594922
0.004201,0.587422
0.004202,0.591172
0.004203,0.578672
0.004204,0.577422
0.004205,0.572422
0.004206,0.569922
0.004207,0.566172
0.004208,0.563672
0.004209,0.559922
0.00421,0.554922
0.004211,0.548672
0.004212,0.547422
0.004213,0.542422
0.004214,0.543672
0.004215,0.532422
0.004216,0.534922
0.004217,0.527422
0.004218,0.524922
0.004219,0.522422
0.00422,0.518672
0.004221,0.518672
0.004222,0.512422
0.004223,0.504922
0.004224,0.506172
0.004225,0.502422
0.004226,0.501172
0.004227,0.497422
0.004228,0.493672
0.004229,0.488672
0.00423,0.489922
0.004231,0.481172
0.004232,0.484922
0.004233,0.473672
0.004234,0.474922
0.004235,0.467422
0.004236,0.464922
0.004237,0.466172
0.004238,0.462422
0.004239,0.461172
0.00424,0.459922
0.004241,0.451172
0.004242,0.451172
0.004243,0.447422
0.004244,0.444922
0.004245,0.441172
0.004246,0.443672
0.004247,0.433672
0.004248,0.432422
0.004249,0.429922
0.00425,0.429922
0.004251,0.426172
0.004252,0.426172
0.004253,0.421172
0.004254,0.418672
0.004255,0.414922
0.004256,0.413672
0.004257,0.412422
0.004258,0.407422
0.004259,0.404922
0.00426,0.402422
0.004261,0.403672
0.004262,0.397422
0.004263,0.396172
0.004264,0.396172
0.004265,0.389922
0.004266,0.387422
0.004267,0.384922
0.004268,0.386172
0.004269,0.383672
0.00427,0.381172
0.004271,0.379922
0.004272,0.377422
0.004273,0.376172
0.004274,0.372422
0.004275,0.368672
0.004276,0.368672
0.004277,0.364922
0.004278,0.366172
0.004279,0.358672
0.00428,0.359922
0.004281,0.357422
0.004282,0.353672
0.004283,0.353672
0.004284,0.353672
0.004285,0.354922
0.004286,0.352422
0.004287,0.346172
0.004288,0.347422
0.004289,0.342422
0.00429,0.338672
0.004291,0.337422
0.004292,0.337422
0.004293,0.337422
0.004294,0.336172
0.004295,0.329922
0.004296,0.331172
0.004297,0.327422
0.004298,0.323672
0.004299,0.323672
0.0043,0.324922
0.004301,0.323672
0.004302,0.317422
0.004303,0.321172
0.004304,0.317422
0.004305,0.316172
0.004306,0.316172
0.004307,0.309922
0.004308,0.309922
0.004309,0.308672
0.00431,0.308672
0.004311,0.306172
0.004312,0.306172
0.004313,0.302422
0.004314,0.299922
0.004315,0.303672
0.004316,0.299922
0.004317,0.297422
0.004318,0.294922
0.004319,0.294922
0.00432,0.292422
0.004321,0.294922
0.004322,0.288672
0.004323,0.287422
0.004324,0.287422
0.004325,0.286172
0.004326,0.283672
0.004327,0.282422
0.004328,0.286172
0.004329,0.278672
0.00433,0.282422
0.004331,0.277422
0.004332,0.276172
0.004333,0.273672
0.004334,0.278672
0.004335,0.272422
0.004336,0.272422
0.004337,0.271172
0.004338,0.269922
0.004339,0.263672
0.00434,0.269922
0.004341,0.268672
0.004342,0.263672
0.004343,0.263672
0.004344,0.262422
0.004345,0.262422
0.004346,0.261172
0.004347,0.258672
0.004348,0.258672
0.004349,0.258672
0.00435,0.254922
0.004351,0.256172
0.004352,0.254922
0.004353,0.257422
0.004354,0.252422
0.004355,0.248672
0.004356,0.251172
0.004357,0.246172
0.004358,0.248672
0.004359,0.248672
0.00436,0.247422
0.004361,0.246172
0.004362,0.243672
0.004363,0.239922
0.004364,0.243672
0.004365,0.242422
0.004366,0.239922
0.004367,0.238672
0.004368,0.239922
0.004369,0.238672
0.00437,0.239922
0.004371,0.237422
0.004372,0.236172
0.004373,0.231172
0.004374,0.232422
0.004375,0.231172
0.004376,0.232422
0.004377,0.231172
0.004378,0.229922
0.004379,0.228672
0.00438,0.231172
0.004381,0.228672
0.004382,0.226172
0.004383,0.224922
0.004384,0.226172
0.004385,0.228672
0.004386,0.221172
0.004387,0.223672
0.004388,0.224922
0.004389,0.221172
0.00439,0.218672
0.004391,0.218672
0.004392,0.219922
0.004393,0.218672
0.004394,0.218672
0.004395,0.218672
0.004396,0.214922
0.004397,0.214922
0.004398,0.212422
0.004399,0.211172
0.0044,0.214922
0.004401,0.212422
0.004402,0.211172
0.004403,0.211172
0.004404,0.207422
0.004405,0.212422
0.004406,0.209922
0.004407,0.204922
0.004408,0.207422
0.004409,0.207422
0.00441,0.206172
0.004411,0.207422
0.004412,0.207422
0.004413,0.203672
0.004414,0.203672
0.004415,0.201172
0.004416,0.203672
0.004417,0.202422
0.004418,0.202422
0.004419,0.201172
0.00442,0.201172
0.004421,0.202422
0.004422,0.199922
0.004423,0.199922
0.004424,0.198672
0.004425,0.197422
0.004426,0.199922
0.004427,0.196172
0.004428,0.197422
0.004429,0.196172
0.00443,0.194922
0.004431,0.192422
0.004432,0.192422
0.004433,0.192422
0.004434,0.193672
0.004435,0.193672
0.004436,0.193672
0.004437,0.191172
0.004438,0.189922
0.004439,0.192422
0.00444,0.189922
0.004441,0.188672
0.004442,0.187422
0.004443,0.189922
0.004444,0.187422
0.004445,0.184922
0.004446,0.187422
0.004447,0.187422
0.004448,0.184922
0.004449,0.186172
0.00445,0.186172
0.004451,0.186172
0.004452,0.184922
0.004453,0.184922
0.004454,0.183672
0.004455,0.181172
0.004456,0.182422
0.004457,0.178672
0.004458,0.179922
0.004459,0.178672
0.00446,0.179922
0.004461,0.181172
0.004462,0.181172
0.004463,0.182422
0.004464,0.181172
0.004465,0.179922
0.004466,0.179922
0.004467,0.178672
0.004468,0.179922
0.004469,0.177422
0.00447,0.177422
0.004471,0.174922
0.004472,0.174922
0.004473,0.171172
0.004474,0.178672
0.004475,0.172422
0.004476,0.174922
0.004477,0.174922
0.004478,0.176172
0.004479,0.173672
0.00448,0.173672
0.004481,0.171172
0.004482,0.172422
0.004483,0.169922
0.004484,0.174922
0.004485,0.172422
0.004486,0.167422
0.004487,0.169922
0.004488,0.168672
0.004489,0.169922
0.00449,0.169922
0.004491,0.166172
0.004492,0.167422
0.004493,0.167422
0.004494,0.166172
0.004495,0.166172
0.004496,0.167422
0.004497,0.166172
0.004498,0.164922
0.004499,0.162422
0.0045,0.166172
0.004501,0.166172
0.004502,0.164922
0.004503,0.164922
0.004504,0.162422
0.004505,0.164922
0.004506,0.164922
0.004507,0.162422
0.004508,0.166172
0.004509,0.166172
0.00451,0.163672
0.004511,0.161172
0.004512,0.163672
0.004513,0.162422
0.004514,0.162422
0.004515,0.161172
0.004516,0.163672
0.004517,0.163672
0.004518,0.161172
0.004519,0.163672
0.00452,0.163672
0.004521,0.157422
0.004522,0.159922
0.004523,0.159922
0.004524,0.163672
0.004525,0.157422
0.004526,0.156172
0.004527,0.158672
0.004528,0.158672
0.004529,0.156172
0.00453,0.158672
0.004531,0.157422
0.004532,0.162422
0.004533,0.158672
0.004534,0.157422
0.004535,0.159922
0.004536,0.157422
0.004537,0.157422
0.004538,0.158672
0.004539,0.154922
0.00454,0.161172
0.004541,0.156172
0.004542,0.159922
0.004543,0.157422
0.004544,0.158672
0.004545,0.158672
0.004546,0.158672
0.004547,0.153672
0.004548,0.158672
0.004549,0.158672
0.00455,0.158672
0.004551,0.152422
0.004552,0.156172
0.004553,0.154922
0.004554,0.153672
0.004555,0.156172
0.004556,0.154922
0.004557,0.154922
0.004558,0.156172
0.004559,0.153672
0.00456,0.156172
0.004561,0.154922
0.004562,0.154922
0.004563,0.152422
0.004564,0.156172
0.004565,0.154922
0.004566,0.157422
0.004567,0.154922
0.004568,0.154922
0.004569,0.158672
0.00457,0.157422
0.004571,0.156172
0.004572,0.154922
0.004573,0.156172
0.004574,0.157422
0.004575,0.153672
0.004576,0.156172
0.004577,0.153672
0.004578,0.156172
0.004579,0.156172
0.00458,0.153672
0.004581,0.154922
0.004582,0.157422
0.004583,0.152422
0.004584,0.154922
0.004585,0.154922
0.004586,0.156172
0.004587,0.154922
0.004588,0.159922
0.004589,0.154922
0.00459,0.154922
0.004591,0.149922
0.004592,0.157422
0.004593,0.156172
0.004594,0.153672
0.004595,0.152422
0.004596,0.154922
0.004597,0.158672
0.004598,0.158672
0.004599,0.154922
0.0046,0.156172
0.004601,0.159922
0.004602,0.154922
0.004603,0.156172
0.004604,0.159922
