Time (s),Voltage (V)
0.007093,0.084922
0.007094,0.087422
0.007095,0.079922
0.007096,0.081172
0.007097,0.084922
0.007098,0.082422
0.007099,0.079922
0.0071,0.082422
0.007101,0.086172
0.007102,0.081172
0.007103,0.082422
0.007104,0.079922
0.007105,0.082422
0.007106,0.082422
0.007107,0.078672
0.007108,0.082422
0.007109,0.082422
0.00711,0.083672
0.007111,0.079922
0.007112,0.079922
0.007113,0.079922
0.007114,0.081172
0.007115,0.078672
0.007116,0.079922
0.007117,0.081172
0.007118,0.082422
0.007119,0.077422
0.00712,0.079922
0.007121,0.081172
0.007122,0.081172
0.007123,0.079922
0.007124,0.081172
0.007125,0.084922
0.007126,0.077422
0.007127,0.077422
0.007128,0.077422
0.007129,0.079922
0.00713,0.077422
0.007131,0.078672
0.007132,0.078672
0.007133,0.076172
0.007134,0.079922
0.007135,0.077422
0.007136,0.078672
0.007137,0.079922
0.007138,0.079922
0.007139,0.077422
0.00714,0.079922
0.007141,0.081172
0.007142,0.078672
0.007143,0.076172
0.007144,0.077422
0.007145,0.081172
0.007146,0.081172
0.007147,0.077422
0.007148,0.077422
0.007149,0.077422
0.00715,0.077422
0.007151,0.076172
0.007152,0.079922
0.007153,0.077422
0.007154,0.077422
0.007155,0.076172
0.007156,0.076172
0.007157,0.079922
0.007158,0.076172
0.007159,0.076172
0.00716,0.077422
0.007161,0.078672
0.007162,0.077422
0.007163,0.074922
0.007164,0.074922
0.007165,0.076172
0.007166,0.079922
0.007167,0.077422
0.007168,0.074922
0.007169,0.077422
0.00717,0.081172
0.007171,0.076172
0.007172,0.077422
0.007173,0.076172
0.007174,0.078672
0.007175,0.074922
0.007176,0.077422
0.007177,0.078672
0.007178,0.074922
0.007179,0.077422
0.00718,0.078672
0.007181,0.072422
0.007182,0.074922
0.007183,0.077422
0.007184,0.076172
0.007185,0.077422
0.007186,0.077422
0.007187,0.076172
0.007188,0.072422
0.007189,0.078672
0.00719,0.074922
0.007191,0.077422
0.007192,0.076172
0.007193,0.073672
0.007194,0.079922
0.007195,0.076172
0.007196,0.078672
0.007197,0.078672
0.007198,0.076172
0.007199,0.076172
0.0072,0.074922
0.007201,0.077422
0.007202,0.074922
0.007203,0.074922
0.007204,0.076172
0.007205,0.076172
0.007206,0.074922
0.007207,0.074922
0.007208,0.077422
0.007209,0.074922
0.00721,0.074922
0.007211,0.074922
0.007212,0.077422
0.007213,0.074922
0.007214,0.076172
0.007215,0.073672
0.007216,0.074922
0.007217,0.076172
0.007218,0.078672
0.007219,0.073672
0.00722,0.074922
0.007221,0.076172
0.007222,0.074922
0.007223,0.076172
0.007224,0.078672
0.007225,0.079922
0.007226,0.077422
0.007227,0.072422
0.007228,0.076172
0.007229,0.073672
0.00723,0.072422
0.007231,0.074922
0.007232,0.073672
0.007233,0.073672
0.007234,0.076172
0.007235,0.073672
0.007236,0.076172
0.007237,0.072422
0.007238,0.074922
0.007239,0.077422
0.00724,0.078672
0.007241,0.073672
0.007242,0.077422
0.007243,0.074922
0.007244,0.076172
0.007245,0.076172
0.007246,0.073672
0.007247,0.076172
0.007248,0.074922
0.007249,0.076172
0.00725,0.074922
0.007251,0.073672
0.007252,0.074922
0.007253,0.073672
0.007254,0.079922
0.007255,0.073672
0.007256,0.074922
0.007257,0.074922
0.007258,0.074922
0.007259,0.073672
0.00726,0.074922
0.007261,0.074922
0.007262,0.073672
0.007263,0.072422
